Treatment,Timestamp,BikeMoveRight2,MVWait2,Permitted2,Safe2,BikeMoveRight4,MVWait4,Permitted4,Safe4,CycleDistance,CycleDist1,CycleDist2,MVDistance,CommuteType,CommuteType1,CommuteType2,State,Gender,Education
2_STR,8.8.2014 11:01:34,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Walk,Walk,Other,OH,Male,Graduate Degree
4_BMUFL,8.12.2014 21:37:07,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
4_BMUFL,8.13.2014 12:26:17,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Male,4-Year College
4_BMUFL,8.13.2014 21:47:43,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Walk,Walk,Other,OH,Male,High School
4_BMUFL,8.17.2014 15:18:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,High School
4_BMUFL,8.18.2014 8:49:04,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,OH,Male,4-Year College
4_BMUFL,8.6.2014 21:42:00,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,4-Year College
4_BMUFL,8.7.2014 13:23:23,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Female,4-Year College
4_BMUFL,8.7.2014 21:59:25,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
4_BMUFL,8.8.2014 18:42:05,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
4_BMUFL,8.8.2014 21:50:15,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,4-Year College
3_SLM,8.11.2014 21:12:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OH,Male,4-Year College
3_SLM,8.12.2014 19:23:00,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,High School
3_SLM,8.12.2014 19:53:47,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,Graduate Degree
3_SLM,8.12.2014 22:01:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,,
3_SLM,8.12.2014 23:04:45,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
3_SLM,8.13.2014 1:27:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OH,Male,4-Year College
3_SLM,8.18.2014 8:45:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Male,Graduate Degree
3_SLM,8.6.2014 19:14:48,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,Graduate Degree
3_SLM,8.6.2014 22:08:55,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OH,Male,4-Year College
3_SLM,8.7.2014 12:21:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OH,Male,4-Year College
3_SLM,8.7.2014 13:08:16,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,Community College
3_SLM,8.7.2014 13:08:38,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Walk,Walk,Other,OH,Female,4-Year College
3_SLM,8.7.2014 15:02:20,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
3_SLM,8.7.2014 15:52:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
3_SLM,8.7.2014 16:11:26,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OH,Male,High School
3_SLM,8.9.2014 15:30:25,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Female,4-Year College
3_SLM,8.9.2014 19:57:56,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Female,Graduate Degree
2_STR,8.10.2014 22:48:25,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,High School
2_STR,8.12.2014 18:59:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
2_STR,8.13.2014 12:39:12,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,OH,Male,High School
2_STR,8.13.2014 8:36:58,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OH,Female,Graduate Degree
2_STR,8.7.2014 12:25:20,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OH,Female,Community College
2_STR,8.7.2014 12:30:13,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Male,4-Year College
2_STR,8.7.2014 12:35:52,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
2_STR,8.7.2014 12:47:59,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,None,Bicycle,Bicycle,Other,OH,Male,Graduate Degree
2_STR,8.7.2014 13:27:10,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
2_STR,8.7.2014 15:14:37,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Male,Graduate Degree
2_STR,8.7.2014 23:47:53,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,OH,Female,4-Year College
2_STR,8.7.2014 9:33:20,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,Male,4-Year College
2_STR,8.9.2014 22:41:53,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
1_None,8.12.2014 18:45:08,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,OH,Male,High School
1_None,8.13.2014 13:20:30,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,4-Year College
1_None,8.14.2014 20:13:13,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OH,,4-Year College
1_None,8.6.2014 17:47:52,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Female,4-Year College
1_None,8.7.2014 7:43:23,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Male,4-Year College
1_None,8.8.2014 11:27:42,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OH,Female,4-Year College
1_None,8.8.2014 9:44:47,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OH,Male,Graduate Degree
3_SLM,8.7.2014 20:36:17,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,High School
2_STR,8.8.2014 18:23:36,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
4_BMUFL,8.6.2014 17:51:34,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,Community College
4_BMUFL,8.7.2014 19:01:22,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
4_BMUFL,8.9.2014 11:31:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
4_BMUFL,9.3.2014 12:00:31,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,OK,Male,4-Year College
3_SLM,8.13.2014 21:55:04,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
3_SLM,8.7.2014 19:15:39,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
3_SLM,8.7.2014 19:43:11,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,Community College
3_SLM,8.7.2014 20:38:55,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,4-Year College
3_SLM,8.8.2014 18:29:08,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,Graduate Degree
3_SLM,8.8.2014 19:43:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,4-Year College
3_SLM,8.8.2014 7:41:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OK,Male,Graduate Degree
2_STR,8.7.2014 22:56:00,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OK,Male,Graduate Degree
1_None,8.16.2014 20:21:39,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,Community College
1_None,8.7.2014 14:41:22,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,OK,Male,Graduate Degree
1_None,8.7.2014 17:58:14,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OK,,Graduate Degree
1_None,8.7.2014 18:28:50,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,Graduate Degree
1_None,8.7.2014 18:37:36,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,Graduate Degree
1_None,8.7.2014 19:03:37,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,4-Year College
1_None,8.7.2014 19:21:48,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OK,Male,4-Year College
1_None,8.7.2014 19:38:35,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OK,Male,4-Year College
1_None,8.7.2014 19:58:50,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,4-Year College
1_None,8.8.2014 17:41:15,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,OK,Male,Community College
1_None,8.8.2014 18:55:32,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Female,4-Year College
3_SLM,8.6.2014 18:09:34,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Walk,Walk,Other,OR,Male,4-Year College
1_None,8.16.2014 0:19:19,1_Agree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Female,Graduate Degree
4_BMUFL,8.6.2014 18:59:52,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,None,0,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OR,Male,4-Year College
4_BMUFL,8.6.2014 19:17:41,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Bus, bike, or drive are all typical",Varies by day,Other,OR,Male,Graduate Degree
4_BMUFL,8.7.2014 14:26:46,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Walk,Walk,Other,OR,Male,4-Year College
4_BMUFL,8.7.2014 14:37:01,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Male,Graduate Degree
4_BMUFL,8.8.2014 1:10:42,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Male,Graduate Degree
3_SLM,8.11.2014 18:58:13,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Male,4-Year College
3_SLM,8.14.2014 16:45:12,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,OR,Male,4-Year College
3_SLM,8.28.2014 13:04:06,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Female,4-Year College
3_SLM,8.6.2014 18:09:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OR,Male,Graduate Degree
3_SLM,8.7.2014 0:31:01,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,OR,Male,Graduate Degree
3_SLM,8.7.2014 20:11:34,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OR,Male,Community College
3_SLM,8.8.2014 14:39:38,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,More than 200 Miles,50 % bike 50% Car,Varies by day,Other,OR,Male,4-Year College
3_SLM,8.9.2014 1:59:44,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,Bicycle,Bicycle,Other,OR,Male,High School
3_SLM,9.3.2014 10:44:21,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,OR,Male,Graduate Degree
2_STR,8.11.2014 2:25:54,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OR,Male,4-Year College
2_STR,8.6.2014 19:55:19,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OR,Female,4-Year College
1_None,8.6.2014 16:54:56,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OR,Male,4-Year College
1_None,8.6.2014 17:00:39,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Male,4-Year College
1_None,8.6.2014 23:07:07,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,company vechicle,"Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OR,Male,4-Year College
1_None,8.7.2014 13:57:15,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Walk,Walk,Other,OR,Female,Graduate Degree
1_None,8.7.2014 17:59:45,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OR,Male,Graduate Degree
1_None,8.7.2014 20:08:51,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OR,Female,Graduate Degree
1_None,9.3.2014 12:20:37,0_Disagree,1_Agree,1_Agree,1_Agree,0_Disagree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,OR,Male,4-Year College
